,Name,Description
0,AI Builder for businesses,"Dear freelancer For our new company, we are looking for someone who can build an AI structure for businesses. Consider AI capabilities for; - Similar chatgpt - AI Customer Service - Any AI capabilities that companies want You must have an understanding of business and coding to put down an AI for a company. You also need to be able to add this into someone's business. You are the one to make sure everything is in place and working. So you will be a member of our team and also the leader in coding programs and leader in programming the systems in companies. It is a one-time job for the beginning, then for longer term (1/5 years) Do you find yourself in this? Then respond to this post Also let us know what you have already built, what your specialties are Thanks Team Servyx
more
about ""<span class=""highlight"">AI</span> Builder for businesses """
1,Rebuild website for me in Flutterflow,"Rebuild my website. Help us transfer it from Umbraco 7 to Flutterflow. My website is quite similar to showbird.com. We need almost the same functionality. So have a look at this website, try to make an account as an artist and feel how the website works for normal website visitors. So: - with excellent Google optimalisation - with for every profile Google calendar synchronisation - with search on availability of artists for website visitors - with possibility to edit profile. To add products to a profile - with page to show products - with page to show one product - with page to show profile - with page to show profiles of one user. - with news functionality and page for overview of news - with admin login and functionality to manage the website - with promoted results And maybe some other things. Tell me the things you mis at this list, as you looked at Snowbird.com. I prefer it's created with the new of Flutterflow. First we need a website. Secondly we will need an app as well. After application I can share current website, so you can see what we have now.
more
about ""Rebuild website for me in Flutterflow"""
2,Design Brief: Logo Design for Zenatomy – Gut Health.,"Project Overview: Seeking a skilled graphic designer to create a logo for a new female-focused supplement brand named “ZENATOMY.” Brand Details: - Requirement: Logo + Brand Name Text in Chosen Brand Font. Ready to print, die lines etc. formats including .psd & .ai, commercial use. - Brand Name: Zenatomy - Brand Feel: Clean Pharmaceutical/Premium Medical Colourful, Strong, Elegant. - Brand Traits: Trustworthy, Transparent, Professional, Active, Caring/Protective. - Brand Focus: Gut Health. Digestive Health. Longevity. - Target Market: Women aged 24-55, medium to high income, conscious of health, figure, and healthy aging. -Preference: Logo clean and simple. Able to be used as app icon. Open to all suggestions. Project Background: The brief is for the logo design for “Zenatomy”, if all goes well there’s an opportunity for further collaboration in building out the “Zenatomy” brand, including product labels, product mock-ups, and website content. Other brands to build out if all goes well. Brand Background and Logo objective The brand provides products to the premium market that support and promote gut health and longevity. The logo design will be used for commercial purposes and should embody the brand's pharmaceutical product feel with a splash of colour, while exuding trustworthiness, transparency, and professionalism. Last thought, if you’re interested in this project and the others lined up, I’m currently in Malaga and will be till the end of July. We can speak online, or I can drive to Barcalona for a day or two (if you’re there) so we can meet in person and talk through this and the other brands. No rush or pressure, just an offer if it helps your creative process. I look forward to your response, project quote, and the opportunity to collaborate on building this brand. If you have any questions or require further clarification, please don't hesitate to ask. Kind regards, Tim B
more
about ""Design Brief: Logo Design for Zenatomy – Gut Health."""
3,Build a LLM-Based Sales Team Interactive Knowledge Base.,"Greetings! We're on an exciting mission to find a large language model expert who can help us innovate in the sales domain. Our project involves the development of a GPT-4 based intelligent knowledge base that will revolutionize how our sales team operates. Key Tasks: Carving out an intelligent, GPT-4 based knowledge resource tailored for our sales team. Ensuring that this digital resource slots perfectly into our existing systems like CRM, website, etc. Unfailing delivery of precise and accurate responses to user queries. Taking our system through rigorous tests and optimizations to ensure peak performance. Craft user-friendly documentation for seamless future maintenance and updates. Necessary Skills and Experience: An impressive track record in developing large language model systems, with a special nod to experience in GPT-4. An intricate understanding of Natural Language Processing (NLP) and Conversational . Comfortability with programming languages and frameworks essential to the task at hand. An understanding of the sales process and ability to anticipate common queries. An agile problem-solving approach coupled with excellent communication skills. The Wildcard: Are you customer-oriented and have an understanding of the sales landscape? If yes, then we have a bonus point for you! Don't let this opportunity slip through your fingers. Apply now and become part of our innovative journey!
more
about ""Build a LLM-Based Sales Team Interactive Knowledge Base."""
4,Lead Python & React,"Hard skills requirements (including years): - Bachelor's or Master's degree in Computer Science, Artificial Intelligence, or a related field. - 7+ years of software engineering experience, with a minimum of 3 years in a technical leadership role - Strong background in building scalable web applications - Expertise in frontend development, HTML, CSS, ReactJS, Javascript/Typescript, and Client-Server Architecture. With a focus on best practices, automated testing, optimizing performance, and user experience. - Proficiency in backend development, Design patterns, and best practices, Python, FastAPI or Django, RESTful API designs, Database management, - Expertise in Lisp programming languages, such as Clojure - Strong knowledge of software development best practices, including agile development methodologies, quality assurance processes, automated testing, and continuous integration. - Proven knowledge of -related technologies, frameworks, and libraries, with the ability to guide the team in implementing features. - Deep understanding of cloud technologies and architectures, specifically GCP, and experience with deploying and maintaining applications in a microservices architecture. - Up-to-date knowledge of current trends, best practices, and emerging technologies in the SaaS development space, and a demonstrated ability to apply this knowledge to drive innovation. Soft skills requirements: - Strong problem-solving and analytical skills, with the ability to navigate complex technical challenges. - Excellent communication and collaboration skills, with the ability to work effectively in cross-functional teams. - Strong project management skills, with experience using agile methodologies and modern project management tools. - Demonstrated ability to lead, mentor, and grow teams of engineers, fostering a collaborative and inclusive environment. Office/Remote: Office in Dubai or Remote Project tasks: - Collaborate with the stakeholders to understand and optimize feature requirements, translate these into clear technical tasks and timeline - Oversee the technical aspects of the Grower Platform, including the design, development, and maintenance of the software, ensuring high-quality and timely delivery - Support and coach the software engineers team in adopting best development practices. Including code reviews, rigorous testing protocols, continuous integration, and clear documentation - Manage the software engineering team, ensuring optimal team performance through effective delegation, feedback, and conflict resolution. - Analyze and improve the performance, scalability, and stability of products, environments, and tools - Identify potential risks and issues related to the platform's development or performance, implement strategies to mitigate these risks, and ensure the platform's long-term success. - Establish and monitor procedures for timely code releases and deployments in a micro-service architecture on GCP - Research, design, and implement technologies and solutions to meet business requirements. - Evaluate new technologies and tools to improve our development processes and platform performance. - Foster a culture of continuous improvement, encouraging the team to regularly review and optimize the platform's performance, speed, and code quality. The essence of the project: Digital Marketing and Sales Platform Current project's age: since 2018 Planned duration: 6+ months
more
about ""Lead Python &amp; React"""
5,AI Tool Expert | Content Creator,"Hey Pals, I am looking for one stop freelancing, I am explaining the entire job in detail below, only reply if you have done these type of jobs, this will be a long term contract. IDEA: To make an AI based Youtube Channel, from AI generated model and I will provide you the script. Requirements: -A person should know how to use AI tools. - he/she should have video editing skills - he/she should have graphic designing skills
more
about ""<span class=""highlight"">AI</span> Tool Expert | Content Creator"""
6,Machine Learning Models,"Dear candidates, I am looking for someone who can develop machine learning models e.g. detecting age from bio, struggles, symptoms, gender etc. from posts. Please apply to receive more information. Kind regards, Ivan"
7,Trainer For AI Tools for Students & Researchers,"Needs to hire 1 Freelancers We're a leading company in the world of e-learning with 3 Million students worldwide, and we're looking for our next talent to create courses. Our courses are mainly recorded using screencast software and a microphone. Along with the fixed price, you'll also appear publicly on the Eduonix platform. Right now we are looking for experienced and enthusiastic professionals to create interesting and engaging video tutorials on Chatgpt & its benefit in different domains. The videos should include real-case scenarios and practical projects. It will be ongoing regular work. The ideal candidate will be a dynamic professional who can pick up new and upcoming technologies and present them to users in a simplified form. The applicant should be fluent in English
more
about ""Trainer For <span class=""highlight"">AI</span> Tools for Students &amp; Researchers"""
8,AI Voice Cloning - Hebrew,"We are looking to replicate the voices of two historical leaders in the Israeli history and generate about 2 minutes of voice in Hebrew. 1. We have a sampling of 2 minutes of a woman's voice talking in English - we would like to replicate her voice and use it in Hebrew texts 2. We have a sampling of 2 minutes of a man's voice talking in Yiddish and Some Hebrew and we would like to use his voice in Hebrew texts We are looking for someone that is able to achieve this quickly and efficiently - we will provide the training dataset
more
about ""<span class=""highlight"">AI</span> Voice Cloning - Hebrew"""
9,Looking someone to production flutter app on store,"We are looking for an experienced Android developer to assist us in publishing an Android application. The ideal candidate should have a Play console account and experience in Android SDK, Kotlin, Java, Flutter, and mobile app development. The project duration is anticipated to be less than one month. To apply for this job, please submit a proposal outlining your experience and how you can assist us with publishing the Android application. Please include some links to past completed projects that showcase your skills in Android app development. In your proposal, please detail your experience in Android app publishing and your familiarity with the Play console account. We are looking for someone who can help us navigate the process of publishing our Android application, from uploading the application to the Play store to ensuring that it is properly optimized for downloading and use. We look forward to hearing from you and reviewing your proposal. Note: Some of the content in this job post may have been auto-generated using advanced .
more
about ""Looking someone to production flutter app on store"""
